part,polygons,vertices,x,y,z,com_x,com_y,com_z,ang_w,ang_x,ang_y,ang_z,bbox_volume,bbox_area,square1,square2,volume,surface_area,sphericity,mean_poly_area,dev_poly_area,skew_poly_area,kurt_poly_area,err_poly_area,bbox_fraction,volume_fraction,surface_fraction,poly_fraction,relative_poly_density,poly_vert_ratio,bbox_vol_ratio,efficiency,class
body10.006,144,74,0.643999994,-1.20449996,-7.11E-17,0.678072751,-1.215249896,0.05901574,90,-1,0,0,5.57E-06,0.001888125,1.005,1.136,4.30E-06,0.001467298,0.813119131,1.02E-05,4.26E-06,-1.254110124,0.040229117,0.418406858,2.86E-06,1.01E-05,6.42E-05,0.000555179,54.83374267,1.945945946,1.295309005,0.99343397,roller bearing
body10.007,144,74,0.643999994,-0.069499999,-7.11E-17,0.678072751,-0.080249995,0.05901574,90,-1,0,0,5.75E-06,0.001929683,1.017,1.118,4.30E-06,0.001467298,0.813119131,1.02E-05,4.26E-06,-1.254110124,0.040229117,0.418406858,2.96E-06,1.01E-05,6.42E-05,0.000555179,54.83374267,1.945945946,1.338844268,0.98228519,roller bearing
body11,1368,686,-0.215999976,-0.027099997,-6.25E-15,-0.247393474,-0.027099993,-0.018125033,90,1,0,0,1.05E-06,0.000619018,1.001,1.001,5.50E-07,0.00032507,0.997154848,2.38E-07,9.93E-08,-0.490169977,-1.100290279,0.418047862,5.39E-07,1.29E-06,1.42E-05,0.005274197,4073.565838,1.994169096,1.906890261,0.998620328,ball bearing
body11.001,1368,686,-0.215999976,-1.191100001,1.07E-16,-0.247393474,-1.191100001,-0.018125033,90,1,0,0,1.05E-06,0.000618769,1,1.001,5.50E-07,0.00032507,0.997154848,2.38E-07,9.93E-08,-0.490169977,-1.100290279,0.418047862,5.38E-07,1.29E-06,1.42E-05,0.005274197,4073.565838,1.994169096,1.905737915,0.998821538,ball bearing
body11.002,1368,686,0,-0.033999998,3.75E-17,0.023166046,-0.030166702,0.013374899,180,0,-0.7071,0.7071,4.45E-07,0.000349633,1,1.001,2.33E-07,0.000183606,0.997154577,1.34E-07,5.61E-08,-0.490169701,-1.100290577,0.418047867,2.29E-07,5.50E-07,8.03E-06,0.005274197,9596.44645,1.994169096,1.906883908,0.998621368,ball bearing
body11.003,1368,686,-3.22E-29,-1.192000031,3.75E-17,-0.030310707,-1.192000031,-0.017499901,90,1,0,0,1.25E-06,0.00069478,1,1.002,6.54E-07,0.000365108,0.997152338,2.67E-07,1.12E-07,-0.490170169,-1.100290296,0.41804784,6.41E-07,1.54E-06,1.60E-05,0.005274197,3422.226672,1.994169096,1.904916071,0.998963851,ball bearing
body11.004,1368,686,0.324000001,-1.197000027,0,0.288276553,-1.197000027,0.020624967,90,-1,0,0,1.23E-06,0.000689396,1,1.002,6.46E-07,0.000362249,0.997153206,2.65E-07,1.11E-07,-0.49017032,-1.100290253,0.418047846,6.33E-07,1.52E-06,1.58E-05,0.005274197,3462.828454,1.994169096,1.90515433,0.998922684,ball bearing
body11.005,144,74,0.324000001,-0.053179681,0,0.306762636,-0.04167968,0.069934785,180,0,-0.7071,0.7071,6.81E-06,0.002158812,1.008,1.129,5.23E-06,0.001672549,0.813224127,1.16E-05,4.86E-06,-1.253498544,0.03496135,0.418692015,3.50E-06,1.23E-05,7.31E-05,0.000555179,45.05063414,1.945945946,1.301347562,0.991842321,roller bearing
body11.006,144,74,0.643999994,-1.20449996,-7.11E-17,0.643999994,-1.215249896,0.068145558,90,-1,0,0,5.56E-06,0.00188701,1.002,1.139,4.30E-06,0.001467298,0.813119642,1.02E-05,4.26E-06,-1.254110039,0.040229222,0.418406912,2.86E-06,1.01E-05,6.42E-05,0.000555179,54.83370785,1.945945946,1.294102123,0.993773165,roller bearing
body11.007,144,74,0.643999994,-0.069499999,-7.11E-17,0.643999994,-0.080249995,0.068145558,90,-1,0,0,5.49E-06,0.001870812,1.001,1.143,4.30E-06,0.001467298,0.813119642,1.02E-05,4.26E-06,-1.254110039,0.040229222,0.418406912,2.82E-06,1.01E-05,6.42E-05,0.000555179,54.83370785,1.945945946,1.277302512,0.99820117,roller bearing
